order_id,user_id,user_name,city,amount,order_date,revenue_tier,normalized_status,amount_hundreds,order_month,order_quarter,order_year
1,8,user_8,SPB,828,2024-01-01 00:00:00,low,completed,8.28,1,1,2024
2,88,user_88,MOSCOW,1465,2024-01-01 03:00:00,medium,completed,14.65,1,1,2024
3,63,user_63,SPB,4592,2024-01-01 06:00:00,medium,completed,45.92,1,1,2024
5,81,user_81,KAZAN,495,2024-01-01 12:00:00,low,completed,4.95,1,1,2024
7,35,user_35,KAZAN,4460,2024-01-01 18:00:00,medium,completed,44.6,1,1,2024
8,35,user_35,KAZAN,2602,2024-01-01 21:00:00,medium,completed,26.02,1,1,2024
9,33,user_33,SPB,1919,2024-01-02 00:00:00,medium,completed,19.19,1,1,2024
12,28,user_28,KAZAN,3677,2024-01-02 09:00:00,medium,completed,36.77,1,1,2024
13,7,user_7,KAZAN,243,2024-01-02 12:00:00,low,completed,2.43,1,1,2024
15,72,user_72,SPB,4591,2024-01-02 18:00:00,medium,completed,45.91,1,1,2024
16,12,user_12,KAZAN,3038,2024-01-02 21:00:00,medium,completed,30.38,1,1,2024
18,33,user_33,SPB,3322,2024-01-03 03:00:00,medium,completed,33.22,1,1,2024
19,48,user_48,MOSCOW,1267,2024-01-03 06:00:00,medium,completed,12.67,1,1,2024
20,23,user_23,SPB,2716,2024-01-03 09:00:00,medium,completed,27.16,1,1,2024
21,62,user_62,MOSCOW,1162,2024-01-03 12:00:00,medium,completed,11.62,1,1,2024
22,88,user_88,MOSCOW,2256,2024-01-03 15:00:00,medium,completed,22.56,1,1,2024
24,99,user_99,MOSCOW,3394,2024-01-03 21:00:00,medium,completed,33.94,1,1,2024
25,44,user_44,MOSCOW,4829,2024-01-04 00:00:00,medium,completed,48.29,1,1,2024
26,86,user_86,SPB,1256,2024-01-04 03:00:00,medium,completed,12.56,1,1,2024
27,91,user_91,MOSCOW,832,2024-01-04 06:00:00,low,completed,8.32,1,1,2024
29,65,user_65,SPB,4946,2024-01-04 12:00:00,medium,completed,49.46,1,1,2024
30,99,user_99,MOSCOW,1053,2024-01-04 15:00:00,medium,completed,10.53,1,1,2024
32,78,user_78,KAZAN,3424,2024-01-04 21:00:00,medium,completed,34.24,1,1,2024
33,3,user_3,KAZAN,3401,2024-01-05 00:00:00,medium,completed,34.01,1,1,2024
34,1,user_1,KAZAN,1642,2024-01-05 03:00:00,medium,completed,16.42,1,1,2024
35,5,user_5,MOSCOW,1291,2024-01-05 06:00:00,medium,completed,12.91,1,1,2024
36,90,user_90,MOSCOW,3093,2024-01-05 09:00:00,medium,completed,30.93,1,1,2024
37,14,user_14,KAZAN,2781,2024-01-05 12:00:00,medium,completed,27.81,1,1,2024
39,9,user_9,KAZAN,1640,2024-01-05 18:00:00,medium,completed,16.4,1,1,2024
40,79,user_79,KAZAN,3336,2024-01-05 21:00:00,medium,completed,33.36,1,1,2024
41,15,user_15,SPB,2486,2024-01-06 00:00:00,medium,completed,24.86,1,1,2024
42,90,user_90,MOSCOW,3819,2024-01-06 03:00:00,medium,completed,38.19,1,1,2024
44,77,user_77,SPB,1956,2024-01-06 09:00:00,medium,completed,19.56,1,1,2024
45,51,user_51,SPB,1465,2024-01-06 12:00:00,medium,completed,14.65,1,1,2024
47,96,user_96,MOSCOW,1780,2024-01-06 18:00:00,medium,completed,17.8,1,1,2024
48,52,user_52,MOSCOW,610,2024-01-06 21:00:00,low,completed,6.1,1,1,2024
49,96,user_96,MOSCOW,4412,2024-01-07 00:00:00,medium,completed,44.12,1,1,2024
50,4,user_4,KAZAN,1424,2024-01-07 03:00:00,medium,completed,14.24,1,1,2024
52,23,user_23,SPB,1927,2024-01-07 09:00:00,medium,completed,19.27,1,1,2024
53,15,user_15,SPB,3241,2024-01-07 12:00:00,medium,completed,32.41,1,1,2024
54,43,user_43,KAZAN,3586,2024-01-07 15:00:00,medium,completed,35.86,1,1,2024
56,36,user_36,SPB,3023,2024-01-07 21:00:00,medium,completed,30.23,1,1,2024
58,32,user_32,KAZAN,4286,2024-01-08 03:00:00,medium,completed,42.86,1,1,2024
63,66,user_66,SPB,4368,2024-01-08 18:00:00,medium,completed,43.68,1,1,2024
64,42,user_42,KAZAN,4848,2024-01-08 21:00:00,medium,completed,48.48,1,1,2024
65,45,user_45,MOSCOW,4949,2024-01-09 00:00:00,medium,completed,49.49,1,1,2024
66,62,user_62,MOSCOW,1343,2024-01-09 03:00:00,medium,completed,13.43,1,1,2024
67,57,user_57,KAZAN,3809,2024-01-09 06:00:00,medium,completed,38.09,1,1,2024
68,6,user_6,MOSCOW,1181,2024-01-09 09:00:00,medium,completed,11.81,1,1,2024
69,28,user_28,KAZAN,555,2024-01-09 12:00:00,low,completed,5.55,1,1,2024
70,28,user_28,KAZAN,994,2024-01-09 15:00:00,low,completed,9.94,1,1,2024
72,84,user_84,MOSCOW,2058,2024-01-09 21:00:00,medium,completed,20.58,1,1,2024
76,92,user_92,MOSCOW,604,2024-01-10 09:00:00,low,completed,6.04,1,1,2024
80,1,user_1,KAZAN,923,2024-01-10 21:00:00,low,completed,9.23,1,1,2024
81,27,user_27,MOSCOW,1028,2024-01-11 00:00:00,medium,completed,10.28,1,1,2024
82,62,user_62,MOSCOW,233,2024-01-11 03:00:00,low,completed,2.33,1,1,2024
83,77,user_77,SPB,2205,2024-01-11 06:00:00,medium,completed,22.05,1,1,2024
84,3,user_3,KAZAN,3727,2024-01-11 09:00:00,medium,completed,37.27,1,1,2024
87,27,user_27,MOSCOW,4275,2024-01-11 18:00:00,medium,completed,42.75,1,1,2024
89,62,user_62,MOSCOW,3384,2024-01-12 00:00:00,medium,completed,33.84,1,1,2024
92,51,user_51,SPB,1350,2024-01-12 09:00:00,medium,completed,13.5,1,1,2024
93,44,user_44,MOSCOW,3612,2024-01-12 12:00:00,medium,completed,36.12,1,1,2024
95,79,user_79,KAZAN,3476,2024-01-12 18:00:00,medium,completed,34.76,1,1,2024
96,59,user_59,KAZAN,3586,2024-01-12 21:00:00,medium,completed,35.86,1,1,2024
98,96,user_96,MOSCOW,1496,2024-01-13 03:00:00,medium,completed,14.96,1,1,2024
100,52,user_52,MOSCOW,3430,2024-01-13 09:00:00,medium,completed,34.3,1,1,2024
102,58,user_58,MOSCOW,570,2024-01-13 15:00:00,low,completed,5.7,1,1,2024
105,39,user_39,MOSCOW,2931,2024-01-14 00:00:00,medium,completed,29.31,1,1,2024
106,2,user_2,MOSCOW,457,2024-01-14 03:00:00,low,completed,4.57,1,1,2024
108,56,user_56,KAZAN,767,2024-01-14 09:00:00,low,completed,7.67,1,1,2024
109,81,user_81,KAZAN,4568,2024-01-14 12:00:00,medium,completed,45.68,1,1,2024
110,59,user_59,KAZAN,1245,2024-01-14 15:00:00,medium,completed,12.45,1,1,2024
111,2,user_2,MOSCOW,4285,2024-01-14 18:00:00,medium,completed,42.85,1,1,2024
113,92,user_92,MOSCOW,2845,2024-01-15 00:00:00,medium,completed,28.45,1,1,2024
114,54,user_54,MOSCOW,639,2024-01-15 03:00:00,low,completed,6.39,1,1,2024
115,87,user_87,KAZAN,2879,2024-01-15 06:00:00,medium,completed,28.79,1,1,2024
116,96,user_96,MOSCOW,4236,2024-01-15 09:00:00,medium,completed,42.36,1,1,2024
117,97,user_97,MOSCOW,4935,2024-01-15 12:00:00,medium,completed,49.35,1,1,2024
118,1,user_1,KAZAN,3875,2024-01-15 15:00:00,medium,completed,38.75,1,1,2024
